user_id,recency,frequency,monetary,clv,avg_order_value,avg_days_between_orders
7,21,21,11,231,2.75,9.952380952380953
13,13,13,5,65,0.35714285714285715,7.076923076923077
23,5,5,9,45,0.47368421052631576,14.8
27,82,82,13,1066,0.52,4.378048780487805
36,38,38,3,114,0.125,9.289473684210526
42,17,17,6,102,0.5,13.058823529411764
46,20,20,10,200,1.6666666666666667,16.5
64,11,11,1,11,0.06666666666666667,10.636363636363637
66,7,7,5,35,0.2,24.714285714285715
67,25,25,3,75,0.42857142857142855,7.16
70,14,14,5,70,0.20833333333333334,18.5
71,24,24,21,504,1.6153846153846154,13.791666666666666
75,24,24,11,264,1.1,8.375
90,72,72,18,1296,1.125,3.4027777777777777
118,28,28,7,196,1.75,12.821428571428571
126,11,11,20,220,1.1111111111111112,21.90909090909091
137,7,7,12,84,0.36363636363636365,19.0
138,33,33,5,165,1.0,10.787878787878787
140,77,77,23,1771,4.6,4.740259740259741
150,32,32,25,800,2.0833333333333335,10.15625
155,23,23,12,276,3.0,14.652173913043478
159,5,5,21,105,1.6153846153846154,19.2
164,11,11,25,275,3.125,15.727272727272727
173,45,45,1,45,0.03571428571428571,5.911111111111111
176,7,7,9,63,0.6,19.714285714285715
187,33,33,5,165,0.8333333333333334,6.666666666666667
195,59,59,2,118,0.5,5.389830508474576
206,29,29,5,145,1.25,11.96551724137931
208,19,19,5,95,0.25,9.157894736842104
210,100,100,61,6100,12.2,3.3
214,28,28,24,672,4.0,11.25
218,7,7,1,7,0.029411764705882353,12.285714285714286
222,71,71,5,355,0.1,5.140845070422535
223,50,50,18,900,4.5,7.28
226,22,22,12,264,0.375,13.545454545454545
229,18,18,11,198,1.0,13.0
233,26,26,16,416,0.37209302325581395,8.076923076923077
236,46,46,26,1196,2.888888888888889,5.804347826086956
248,59,59,15,885,1.5,6.067796610169491
257,21,21,4,84,0.16,4.285714285714286
262,46,46,8,368,2.0,7.130434782608695
270,23,23,1,23,0.0625,11.695652173913043
271,16,16,2,32,0.2,17.8125
275,15,15,5,75,0.5,10.333333333333334
280,42,42,2,84,0.06451612903225806,8.404761904761905
289,50,50,12,600,0.23076923076923078,6.88
304,43,43,4,172,0.8,7.883720930232558
323,72,72,10,720,0.8333333333333334,2.4166666666666665
334,64,64,6,384,0.8571428571428571,5.578125
355,14,14,7,98,1.75,14.857142857142858
370,28,28,11,308,2.75,9.357142857142858
378,9,9,3,27,0.15,21.22222222222222
380,13,13,3,39,0.17647058823529413,13.153846153846153
381,17,17,13,221,0.43333333333333335,13.117647058823529
382,30,30,4,120,0.4,10.066666666666666
394,6,6,19,114,4.75,22.5
396,19,19,19,361,4.75,14.368421052631579
