user_id,recency,frequency,monetary,clv,avg_order_value,avg_days_between_orders,cluster,customer_type,churn
7,21,21,11,231,2.75,9.952380952380953,0,Low Engagement User,0
13,13,13,5,65,0.3571428571428571,7.076923076923077,0,Low Engagement User,0
23,5,5,9,45,0.4736842105263157,14.8,0,Low Engagement User,0
27,82,82,13,1066,0.52,4.378048780487805,1,At-Risk Customer,1
36,38,38,3,114,0.125,9.289473684210526,2,High-Value Customer,0
42,17,17,6,102,0.5,13.058823529411764,0,Low Engagement User,0
46,20,20,10,200,1.6666666666666667,16.5,0,Low Engagement User,0
64,11,11,1,11,0.0666666666666666,10.636363636363637,0,Low Engagement User,0
66,7,7,5,35,0.2,24.714285714285715,0,Low Engagement User,0
67,25,25,3,75,0.4285714285714285,7.16,0,Low Engagement User,0
70,14,14,5,70,0.2083333333333333,18.5,0,Low Engagement User,0
71,24,24,21,504,1.6153846153846154,13.791666666666666,2,High-Value Customer,0
75,24,24,11,264,1.1,8.375,0,Low Engagement User,0
90,72,72,18,1296,1.125,3.4027777777777777,1,At-Risk Customer,1
118,28,28,7,196,1.75,12.821428571428571,0,Low Engagement User,0
126,11,11,20,220,1.1111111111111112,21.90909090909091,0,Low Engagement User,0
137,7,7,12,84,0.3636363636363636,19.0,0,Low Engagement User,0
138,33,33,5,165,1.0,10.787878787878787,0,Low Engagement User,0
140,77,77,23,1771,4.6,4.740259740259741,1,At-Risk Customer,1
150,32,32,25,800,2.083333333333333,10.15625,2,High-Value Customer,0
155,23,23,12,276,3.0,14.652173913043478,0,Low Engagement User,0
159,5,5,21,105,1.6153846153846154,19.2,0,Low Engagement User,0
164,11,11,25,275,3.125,15.727272727272728,0,Low Engagement User,0
173,45,45,1,45,0.0357142857142857,5.911111111111111,2,High-Value Customer,1
176,7,7,9,63,0.6,19.714285714285715,0,Low Engagement User,0
187,33,33,5,165,0.8333333333333334,6.666666666666667,0,Low Engagement User,0
195,59,59,2,118,0.5,5.389830508474576,2,High-Value Customer,1
206,29,29,5,145,1.25,11.96551724137931,0,Low Engagement User,0
208,19,19,5,95,0.25,9.157894736842104,0,Low Engagement User,0
210,100,100,61,6100,12.2,3.3,1,At-Risk Customer,1
214,28,28,24,672,4.0,11.25,2,High-Value Customer,0
218,7,7,1,7,0.0294117647058823,12.285714285714286,0,Low Engagement User,0
222,71,71,5,355,0.1,5.140845070422535,1,At-Risk Customer,1
223,50,50,18,900,4.5,7.28,2,High-Value Customer,1
226,22,22,12,264,0.375,13.545454545454543,0,Low Engagement User,0
229,18,18,11,198,1.0,13.0,0,Low Engagement User,0
233,26,26,16,416,0.3720930232558139,8.076923076923077,2,High-Value Customer,0
236,46,46,26,1196,2.888888888888889,5.804347826086956,2,High-Value Customer,1
248,59,59,15,885,1.5,6.067796610169491,2,High-Value Customer,1
257,21,21,4,84,0.16,4.285714285714286,0,Low Engagement User,0
262,46,46,8,368,2.0,7.130434782608695,2,High-Value Customer,1
270,23,23,1,23,0.0625,11.695652173913045,0,Low Engagement User,0
271,16,16,2,32,0.2,17.8125,0,Low Engagement User,0
275,15,15,5,75,0.5,10.333333333333334,0,Low Engagement User,0
280,42,42,2,84,0.064516129032258,8.404761904761905,2,High-Value Customer,0
289,50,50,12,600,0.2307692307692307,6.88,2,High-Value Customer,1
304,43,43,4,172,0.8,7.883720930232558,2,High-Value Customer,0
323,72,72,10,720,0.8333333333333334,2.4166666666666665,1,At-Risk Customer,1
334,64,64,6,384,0.8571428571428571,5.578125,1,At-Risk Customer,1
355,14,14,7,98,1.75,14.857142857142858,0,Low Engagement User,0
370,28,28,11,308,2.75,9.357142857142858,0,Low Engagement User,0
378,9,9,3,27,0.15,21.22222222222222,0,Low Engagement User,0
380,13,13,3,39,0.1764705882352941,13.153846153846152,0,Low Engagement User,0
381,17,17,13,221,0.4333333333333333,13.117647058823527,0,Low Engagement User,0
382,30,30,4,120,0.4,10.066666666666666,0,Low Engagement User,0
394,6,6,19,114,4.75,22.5,0,Low Engagement User,0
396,19,19,19,361,4.75,14.36842105263158,0,Low Engagement User,0
409,87,87,4,348,0.1379310344827586,4.172413793103448,1,At-Risk Customer,1
413,21,21,10,210,2.5,7.619047619047619,0,Low Engagement User,0
417,10,10,4,40,0.4444444444444444,18.2,0,Low Engagement User,0
422,28,28,15,420,0.3488372093023256,8.964285714285714,2,High-Value Customer,0
423,43,43,1,43,0.2,8.488372093023257,2,High-Value Customer,0
430,9,9,8,72,0.8,9.22222222222222,0,Low Engagement User,0
440,19,19,3,57,0.2,8.105263157894736,0,Low Engagement User,0
451,33,33,7,231,0.28,9.0,2,High-Value Customer,0
453,14,14,8,112,0.1454545454545454,17.0,0,Low Engagement User,0
468,7,7,4,28,0.4444444444444444,23.285714285714285,0,Low Engagement User,0
470,17,17,4,68,0.5714285714285714,7.117647058823529,0,Low Engagement User,0
474,30,30,3,90,0.1034482758620689,7.533333333333333,0,Low Engagement User,0
481,36,36,16,576,1.6,9.72222222222222,2,High-Value Customer,0
495,25,25,11,275,0.1325301204819277,12.88,0,Low Engagement User,0
496,83,83,7,581,0.7,3.3734939759036147,1,At-Risk Customer,1
503,37,37,9,333,1.8,9.72972972972973,2,High-Value Customer,0
508,20,20,1,20,0.0833333333333333,11.05,0,Low Engagement User,0
521,7,7,7,49,0.6363636363636364,19.857142857142858,0,Low Engagement User,0
529,51,51,14,714,3.5,6.254901960784314,2,High-Value Customer,1
541,6,6,5,30,1.25,18.666666666666668,0,Low Engagement User,0
560,35,35,5,175,1.0,7.514285714285714,2,High-Value Customer,0
562,52,52,1,52,0.1666666666666666,4.480769230769231,2,High-Value Customer,1
568,11,11,15,165,3.75,13.636363636363637,0,Low Engagement User,0
583,35,35,27,945,3.0,9.542857142857144,2,High-Value Customer,0
585,12,12,5,60,1.0,17.666666666666668,0,Low Engagement User,0
